"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata","sensor","location"
2022-08-18 15:30:00,1.6732,6.3755e-14,0.0036,0.9674,30.16853,0.0032,1.71811,1.47467,0.00323,0.85275,1.50271,1.9606e-13,7.6261e-14,3.38554,1.9883,1.9696e-14,7e-05,58041.948,0,10,-2,0,"cyclone-hx9","1"
2022-08-18 15:35:00,0.26691,1.3588e-12,0.21664,0.08955,8.74243,0.17936,0.08725,1.68165,0.17882,0.08706,0.17419,8.792e-12,2.7674e-12,6.44189,4.29221,6.7412e-15,0.00013,53216.14,0,-25,15,1,"cyclone-hx9","1"
2022-08-18 15:40:00,3.78546,1.6352e-14,0.00019,3.4942,13.76562,0.00019,3.79296,1.64667,0.00019,2.88907,3.71289,2.5655e-14,1.6888e-14,4.71801,2.70506,1.1328e-14,6e-05,56842.9,0,-22,11,0,"cyclone-hx9","1"
2022-08-18 15:45:00,3.06308,2.3272e-14,0.00018,2.92465,7.32422,0.00018,3.06808,1.65667,0.00018,2.54226,3.21805,3.1749e-14,2.1434e-14,3.78652,2.19297,1.6344e-14,6e-05,57781.88,0,-20,-32,0,"cyclone-hx9","1"
2022-08-18 15:50:00,3.42646,1.9306e-14,0.00041,2.91472,22.6705,4e-04,3.45521,1.61417,4e-04,2.19761,3.45404,4.0474e-14,1.9049e-14,4.21983,2.47666,1.3644e-14,9e-05,59628.152,0,16,-10,0,"cyclone-hx9","1"
2022-08-18 15:55:00,3.12728,2.2481e-14,0.00028,2.83602,13.26562,0.00027,3.14071,1.63605,0.00027,2.70648,3.28337,2.8604e-14,2.0728e-14,3.90179,2.21457,1.5547e-14,7e-05,63684.26,0,-21,9,0,"cyclone-hx9","1"
2022-08-18 16:00:00,1.45908,8.01e-14,0.00276,1.03242,19.18457,0.00252,1.50139,1.53712,0.00253,1.10493,1.83149,1.2731e-13,5.4839e-14,5.01587,2.7975,1.0229e-14,5e-05,59972.342,0,-21,9,0,"cyclone-hx9","1"
2022-08-18 16:05:00,3.31015,2.045e-14,0.00038,2.81121,22.50195,0.00036,3.33639,1.61667,0.00037,2.35806,3.53706,3.5989e-14,1.831e-14,4.14852,2.33728,1.4037e-14,5e-05,59877.986,0,-30,19,0,"cyclone-hx9","1"
2022-08-18 16:10:00,4.13467,1.4115e-14,0.00048,3.04519,48.23242,0.00046,4.1623,1.57422,0.00046,2.28606,3.92182,3.7898e-14,1.5415e-14,5.16337,2.92455,9.7471e-15,5e-05,63416.016,0,-38,22,0,"cyclone-hx9","1"
2022-08-18 16:15:00,3.83536,1.5999e-14,0.00043,2.98752,36.62891,0.00041,3.85563,1.59379,0.00041,2.47198,3.86267,3.3268e-14,1.5811e-14,4.82757,2.68802,1.0903e-14,5e-05,61977.768,0,14,-9,0,"cyclone-hx9","1"
2022-08-18 16:20:00,4.13795,1.4097e-14,2e-04,3.76862,17.55469,2e-04,4.15545,1.64167,2e-04,3.13925,4.28917,2.2338e-14,1.3278e-14,5.19882,2.89436,9.6365e-15,5e-05,60110.502,0,-23,11,0,"cyclone-hx9","1"
2022-08-18 16:25:00,6.54842,6.5595e-15,1e-04,6.27719,13.01562,1e-04,6.56343,1.65667,1e-04,5.01443,5.97519,1.0234e-14,7.6414e-15,8.0801,4.71974,4.621e-15,6e-05,58349.21,0,-23,11,0,"cyclone-hx9","1"
2022-08-18 16:30:00,5.72721,8.2008e-15,0.00013,5.35769,17.55469,0.00013,5.73971,1.64667,0.00013,4.25186,5.65934,1.3473e-14,8.3654e-15,7.08705,4.12017,5.7498e-15,5e-05,58149.024,0,13,33,0,"cyclone-hx9","1"
2022-08-18 16:35:00,5.72012,8.2178e-15,0.00014,5.28444,20.00781,0.00014,5.72761,1.64667,0.00014,3.92107,5.68779,1.542e-14,8.2958e-15,7.07435,4.1286,5.767e-15,6e-05,57893.45,0,-22,-32,0,"cyclone-hx9","1"
2022-08-18 16:40:00,4.647,1.1618e-14,0.00012,4.48448,7.78125,0.00012,4.64699,1.66167,0.00012,3.66026,4.64487,1.7295e-14,1.1627e-14,5.776,3.28462,8.0857e-15,6e-05,56825.058,0,-22,-32,0,"cyclone-hx9","1"
2022-08-18 16:45:00,8.53116,4.221e-15,9e-05,8.05057,21.07031,9e-05,8.53366,1.65167,9e-05,6.61473,7.27302,6.4502e-15,5.5069e-15,10.10334,6.64198,3.1841e-15,6e-05,57773.674,0,-22,-32,0,"cyclone-hx9","1"
2022-08-18 16:50:00,8.32856,4.3935e-15,9e-05,7.52541,35.56641,9e-05,8.33771,1.63933,9e-05,6.32289,7.42454,6.954e-15,5.3208e-15,10.20323,6.10276,3.1323e-15,5e-05,57114.784,0,-22,-32,0,"cyclone-hx9","1"
2022-08-18 16:55:00,8.63471,4.137e-15,9e-05,7.90702,31.92432,9e-05,8.64221,1.64667,9e-05,5.87405,7.67472,7.862e-15,5.0349e-15,10.29451,6.6504,3.0862e-15,5e-05,57161.716,0,-23,10,0,"cyclone-hx9","1"
