"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022-08-31 09:55:00,2.78827,2.7219e-14,0.00106,1.91928,38.01953,0.00098,2.83306,1.5411,0.00099,1.65566,3.10363,6.4885e-14,2.2767e-14,3.44184,2.02701,1.9162e-14,9e-05,65528,1,36,-20,0
2022-08-31 10:00:00,2.65905,2.9459e-14,0.00088,1.97852,29.67773,0.00082,2.6842,1.57024,0.00082,1.75344,2.79978,5.8967e-14,2.7033e-14,3.27905,1.93075,2.0774e-14,8e-05,65528,3,-5,-1,0
2022-08-31 10:05:00,0.50623,4.6758e-13,0.00913,0.40623,5.6875,0.00842,0.4056,1.67948,0.0084,0.42682,0.60631,6.2138e-13,3.4616e-13,2.36761,1.44124,3.5747e-14,0.00012,65508.002,0,36,-20,0
2022-08-31 10:10:00,1.88778,5.2141e-14,0.0028,1.09961,34.76292,0.0025,1.93605,1.48201,0.00252,0.99458,1.90088,1.5171e-13,5.1543e-14,2.28456,1.4234,3.794e-14,0.00015,65528,2,36,-19,0
2022-08-31 10:15:00,2.31894,3.7007e-14,0.00259,1.18951,48.58154,0.00224,2.39478,1.43896,0.00226,1.08253,2.23036,1.3173e-13,3.9489e-14,2.84839,1.69642,2.6268e-14,8e-05,57156.028,0,36,-20,0
2022-08-31 11:30:00,0.92701,1.7059e-13,0.01326,0.44636,21.07031,0.01141,1.03113,1.35366,0.01157,0.4347,0.84953,6.0271e-13,1.973e-13,2.32815,1.42002,3.6763e-14,9e-05,59345.582,0,0,1,0
2022-08-31 11:35:00,1.2061,1.1002e-13,0.00776,0.62261,26.56958,0.00675,1.28843,1.40109,0.00681,0.59671,1.16709,3.5549e-13,1.1621e-13,2.43783,1.48052,3.4048e-14,1e-04,62641.202,0,0,0,0
2022-08-31 11:40:00,1.76087,5.8553e-14,0.00174,1.31647,20.08362,0.00163,1.80338,1.57168,0.00164,1.20402,1.93647,1.1033e-13,4.9974e-14,2.69671,1.62202,2.8776e-14,8e-05,48874.87,0,0,1,0
2022-08-31 11:45:00,1.84237,5.43e-14,0.00118,1.55019,13.62109,0.00115,1.8555,1.60792,0.00115,1.2917,1.99958,9.8135e-14,4.7373e-14,1.75291,1.12145,5.8997e-14,0.00013,44248.078,0,0,1,0
2022-08-31 11:50:00,2.14328,4.2199e-14,0.00145,1.52043,27.83527,0.00134,2.18963,1.54791,0.00135,1.36052,2.34181,9.0002e-14,3.6406e-14,2.62203,1.56425,3.0155e-14,7e-05,55987.464,0,0,1,0
2022-08-31 11:55:00,1.64917,6.5311e-14,0.00262,1.10338,24.74854,0.00238,1.68676,1.52372,0.00239,1.02493,1.88508,1.443e-13,5.2265e-14,3.9366,2.251,1.5319e-14,7e-05,43883.444,0,0,1,0
2022-08-31 12:00:00,0.82293,2.0805e-13,0.01722,0.38973,18.67285,0.01476,0.93706,1.31438,0.01493,0.37864,0.79271,7.5865e-13,2.2143e-13,2.54894,1.55236,3.161e-14,1e-04,48680.508,0,0,1,0
2022-08-31 12:05:00,1.27777,9.9925e-14,0.00636,0.68843,25.44983,0.00554,1.35681,1.42707,0.0056,0.6552,1.27109,3.0419e-13,1.008e-13,2.34927,1.43681,3.6214e-14,1e-04,57378.042,0,0,1,0
