"year","floatDate","floattime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022,8.58065,15,5.38011,9.1014e-15,0.00011,5.15142,10.23438,0.00011,5.39511,1.65667,0.00011,4.64918,5.67917,1.1609e-14,8.3168e-15,6.81496,3.66651,6.1375e-15,6e-05,65527.698,0,-12,-25,0
2022,8.58065,15.08333,5.77946,8.0776e-15,0.00016,5.05816,30.96863,0.00016,5.80571,1.62917,0.00016,4.36799,5.91808,1.2881e-14,7.7648e-15,7.33918,3.91117,5.4244e-15,6e-05,65523.152,0,-12,-25,0
2022,8.58065,15.16667,5.73053,8.1929e-15,0.00011,5.50181,10.23438,0.00011,5.74553,1.65667,0.00011,4.83813,5.5037,1.0863e-14,8.7634e-15,7.20281,3.9858,5.5966e-15,6e-05,65360.542,0,-12,-25,0
2022,8.58065,15.25,4.61128,1.1769e-14,1e-04,4.4697,7.17578,1e-04,4.61377,1.66417,1e-04,4.19421,4.68615,1.3783e-14,1.1457e-14,5.79798,3.21018,8.0347e-15,6e-05,65248.562,0,-12,-25,0
2022,8.58065,15.33333,3.34947,2.0051e-14,0.00021,3.12696,10.53125,0.00021,3.35197,1.65167,0.00021,2.95181,3.36741,2.4752e-14,1.9873e-14,4.19487,2.35463,1.3779e-14,6e-05,65236.822,0,-12,-25,0
2022,8.58065,15.41667,6.2033,7.1789e-15,0.00011,5.77991,19.44043,0.00011,6.21579,1.64667,0.00011,5.00665,6.42037,1.0261e-14,6.7789e-15,7.86654,4.22977,4.832e-15,6e-05,64888.562,0,-12,-25,0
2022,8.58065,15.5,3.4303,1.927e-14,0.00037,3.00364,19.18457,0.00036,3.44819,1.62683,0.00036,2.89659,3.28488,2.5544e-14,2.0712e-14,4.1817,2.53495,1.3852e-14,0.00012,65390.862,0,-12,-25,0
2022,8.58065,15.58333,6.62137,6.4395e-15,1e-04,6.14066,21.07031,1e-04,6.63387,1.64667,1e-04,5.33724,6.85559,9.2236e-15,6.077e-15,8.3919,4.52774,4.3384e-15,6e-05,65528,1,-12,-25,0
2022,8.58065,15.66667,4.62522,1.171e-14,0.00018,4.25585,17.55469,0.00018,4.64272,1.64167,0.00018,3.75257,4.98359,1.6591e-14,1.034e-14,5.85876,3.16984,7.8962e-15,6e-05,65528,1,-12,-25,0
2022,8.58065,15.75,1.30146,9.6913e-14,0.0012,1.19344,6.11292,0.0012,1.31005,1.64011,0.0012,1.14513,1.53393,1.1995e-13,7.3692e-14,1.16391,0.79451,1.1674e-13,0.00017,65523.496,0,-12,-25,0
2022,8.58065,15.83333,4.85249,1.081e-14,0.00016,4.52401,14.64551,0.00016,4.85499,1.65167,0.00016,4.01319,5.08418,1.4835e-14,1.0001e-14,5.96825,3.52073,7.6563e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,15.91667,4.77624,1.1099e-14,0.00016,4.5049,13.01562,0.00016,4.77874,1.65167,0.00016,3.96137,4.59816,1.516e-14,1.1825e-14,5.96313,3.37477,7.6672e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,16,5.14285,9.812e-15,0.00014,4.91409,10.23438,0.00014,5.14784,1.65667,0.00014,4.41967,5.10817,1.2631e-14,9.9233e-15,6.42335,3.62762,6.7737e-15,8e-05,65528,2,-11,-25,0
2022,8.58065,16.08333,2.4386,3.403e-14,0.0012,1.74229,30.32413,0.00111,2.48266,1.55731,0.00112,1.60076,2.5911,6.8636e-14,3.0758e-14,3.03119,1.73818,2.3681e-14,0.00013,65528,2,-11,-25,0
2022,8.58065,16.16667,2.107,4.3417e-14,0.00038,1.33405,0.183,0.00035,2.117,1.66667,0.00038,1.72833,2.17118,6.0402e-14,4.1299e-14,1.29493,0.86863,9.7728e-14,0.00022,65528,2,-11,-25,0
2022,8.58065,16.25,4.62209,1.1723e-14,0.00016,4.25889,16.599,0.00016,4.6299,1.64729,0.00016,3.75006,4.70275,1.661e-14,1.139e-14,5.84482,3.17585,7.9276e-15,7e-05,65528,2,-11,-25,0
2022,8.58065,16.33333,5.4951,8.7862e-15,0.00014,5.0684,19.18457,0.00014,5.49759,1.65167,0.00014,4.34548,6.03015,1.2993e-14,7.5257e-15,6.94486,3.75676,5.9473e-15,6e-05,65528,2,-11,-25,0
2022,8.58065,16.41667,1.25562,1.0288e-13,0.00092,1.00338,0.46649,0.00086,4.1163,1.32507,0.00086,1.11867,1.13254,1.2472e-13,1.2218e-13,1.43695,1.03406,8.2166e-14,0.00047,65526.806,0,-12,-25,0
2022,8.58065,16.5,3.82454,1.6074e-14,0.00019,3.55327,13.01562,0.00019,3.83179,1.64585,0.00019,3.21119,4.0649,2.1511e-14,1.4522e-14,4.81127,2.66388,1.0965e-14,6e-05,65528,2,-11,-25,0
2022,8.58065,16.58333,1.94131,4.9767e-14,0.00047,1.84132,5.5,0.00047,1.94631,1.65667,0.00047,1.73244,2.10055,6.0163e-14,4.3639e-14,2.32469,1.4754,3.6854e-14,0.00015,65527.874,0,-12,-25,0
2022,8.58065,16.66667,0.71654,2.6203e-13,0.00245,0.59619,0.79784,0.00241,1.42181,1.40759,0.00241,0.57192,0.77522,3.8153e-13,2.2982e-13,0.53402,0.41631,4.2772e-13,0.001,65527.594,0,-12,-25,0
2022,8.58065,16.75,2.96003,2.4638e-14,0.00032,2.75221,9.62891,0.00032,2.97222,1.64604,0.00032,2.2952,3.16514,3.7647e-14,2.2035e-14,3.57155,2.23392,1.8016e-14,0.00013,65528,1,-12,-25,0
2022,8.58065,16.83333,3.22817,2.1322e-14,0.00042,2.85878,17.55469,0.00042,3.25441,1.62917,0.00042,2.46777,3.25864,3.3362e-14,2.0991e-14,2.42862,1.47109,3.4263e-14,8e-05,65528,1,-12,-25,0
2022,8.58065,16.91667,1.61374,6.7718e-14,0.00091,1.49625,6.71875,0.00091,1.63124,1.64167,0.00091,1.30297,1.83052,9.6725e-14,5.4887e-14,1.90261,1.29049,5.1465e-14,0.00028,65528,1,-12,-25,0
2022,8.58065,17,0.75093,2.4234e-13,0.00165,0.63765,0.95632,0.00162,0.73093,1.66917,0.00165,0.74309,0.78981,2.4662e-13,2.2279e-13,0.68066,0.50879,2.8546e-13,0.00049,65528,1,-12,-25,0
2022,8.58065,17.08333,0.66635,2.9575e-13,0.00272,0.61947,2.9375,0.00271,0.64447,1.66831,0.00273,0.61446,0.6989,3.3854e-13,2.7315e-13,0.579,0.44553,3.7379e-13,0.00075,65528,1,-12,-25,0
2022,8.58065,17.16667,2.32065,3.6961e-14,3e-04,2.2269,5.23438,3e-04,2.33315,1.66042,3e-04,2.08064,2.44426,4.4337e-14,3.3899e-14,2.81659,1.73113,2.6764e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,17.25,1.45705,8.0286e-14,0.00127,1.33205,6.5625,0.00127,1.46619,1.63933,0.00127,1.20907,1.56964,1.0957e-13,7.0919e-14,1.14277,0.78754,1.2036e-13,0.00031,65528,1,-12,-25,0
2022,8.58065,17.33333,3.07364,2.3139e-14,0.00029,2.84488,10.23438,0.00028,3.08177,1.6448,0.00028,2.63453,3.4389,2.9917e-14,1.919e-14,3.82057,2.18094,1.6102e-14,7e-05,65528,1,-12,-25,0
2022,8.58065,17.41667,4.47585,1.2368e-14,2e-04,4.10648,17.55469,2e-04,4.49335,1.64167,2e-04,3.54121,4.7818,1.8274e-14,1.1078e-14,5.63404,3.10996,8.4281e-15,6e-05,65518.036,0,-12,-25,0
2022,8.58065,17.5,1.02146,1.4512e-13,0.0011,0.86863,0.79956,0.00108,1.53625,1.51857,0.00108,0.9242,1.02871,1.7146e-13,1.4342e-13,0.78222,0.57024,2.264e-13,0.00034,65335.682,0,-12,-25,0
2022,8.58065,17.58333,3.75568,1.6568e-14,0.00021,3.52693,10.23438,0.00021,3.75818,1.65167,0.00021,3.19329,3.88468,2.1712e-14,1.5662e-14,4.70342,2.63549,1.1387e-14,6e-05,65527.24,0,-12,-25,0
2022,8.58065,17.66667,3.56106,1.8105e-14,0.00019,3.28982,13.01562,0.00018,3.57544,1.64386,0.00018,2.851,3.43406,2.6228e-14,1.9235e-14,4.39844,2.55387,1.2733e-14,7e-05,65527.178,0,-12,-25,0
2022,8.58065,17.75,0.77847,2.2822e-13,0.00137,0.69517,1.09406,0.00134,1.23883,1.4934,0.00134,0.73185,0.84262,2.5296e-13,2.0001e-13,0.64314,0.48659,3.1375e-13,0.00054,65479.08,0,-12,-25,0
2022,8.58065,17.83333,4.41624,1.2648e-14,0.00021,3.98062,20.00781,0.00021,4.43748,1.63417,0.00021,3.39602,4.58466,1.9595e-14,1.1883e-14,5.51092,3.12812,8.7442e-15,6e-05,65528,1,-12,-25,0
2022,8.58065,17.91667,4.1756,1.3886e-14,0.00029,3.58768,25.94348,0.00029,4.18935,1.62417,0.00029,3.08789,4.67807,2.2961e-14,1.149e-14,5.25541,2.89787,9.4642e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,18,4.14879,1.4035e-14,3e-04,3.54058,26.36035,3e-04,4.17254,1.61917,3e-04,3.03117,4.47767,2.3682e-14,1.236e-14,5.18157,2.93002,9.6901e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,18.08333,2.79516,2.7107e-14,0.00041,2.52394,13.01562,0.00041,2.80016,1.63667,0.00041,2.2453,3.21427,3.9052e-14,2.1476e-14,3.40733,2.05831,1.9487e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,18.16667,3.56988,1.803e-14,0.00028,3.20048,17.55469,0.00028,3.59113,1.63417,0.00028,2.85343,4.02933,2.6191e-14,1.4736e-14,4.48178,2.50475,1.2341e-14,7e-05,65528,1,-12,-25,0
2022,8.58065,18.25028,2.63053,2.9993e-14,0.00023,2.52428,5.95312,0.00023,2.64491,1.65854,0.00023,2.3662,2.65536,3.5783e-14,2.9527e-14,3.21126,1.93185,2.151e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,18.33333,4.68103,1.1478e-14,0.00023,4.07291,26.36035,0.00022,4.70728,1.62917,0.00022,3.58118,5.11173,1.7936e-14,9.9117e-15,5.87605,3.26086,7.8575e-15,7e-05,65528,1,-12,-25,0
2022,8.58065,18.41667,3.71203,1.6894e-14,0.00049,2.85192,37.19629,0.00047,3.74891,1.58543,0.00047,2.48222,3.92737,3.3039e-14,1.5379e-14,4.62156,2.64375,1.1725e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,18.5,2.27259,3.8273e-14,0.00047,2.07708,9.95667,0.00047,2.28173,1.63933,0.00047,1.87688,2.46149,5.2646e-14,3.3504e-14,2.75276,1.71221,2.7807e-14,0.00014,65528,1,-12,-25,0
2022,8.58065,18.58333,2.88035,2.5784e-14,0.00041,2.57034,14.375,0.00041,2.8966,1.63417,0.00041,2.29441,3.47732,3.7668e-14,1.8837e-14,3.53356,2.11511,1.834e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,18.66667,2.9341,2.5002e-14,0.00035,2.66753,12.23828,0.00035,2.9427,1.64011,0.00035,2.29717,3.30619,3.7593e-14,2.049e-14,3.61056,2.13464,1.7693e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,18.75,2.63874,2.9838e-14,0.00036,2.40997,10.23438,0.00035,2.64733,1.64011,0.00035,2.22678,2.82352,3.9594e-14,2.6655e-14,3.25179,1.90792,2.1065e-14,7e-05,65528,1,-12,-25,0
2022,8.58065,18.83333,3.33474,2.0199e-14,0.00025,3.17223,7.78125,0.00026,3.34724,1.65417,0.00026,2.71971,3.62598,2.8372e-14,1.7568e-14,4.10006,2.42119,1.4315e-14,9e-05,65528,1,-12,-25,0
2022,8.58065,18.91667,1.27069,1.0085e-13,0.00153,1.1082,7.78125,0.0015,1.30104,1.61581,0.0015,1.00389,1.35812,1.4938e-13,9.0268e-14,1.11958,0.77156,1.2455e-13,3e-04,65528,1,-12,-25,0
2022,8.58065,19,0.50183,4.7443e-13,0.00368,0.36614,0.30498,0.00344,1.1376,1.35838,0.00347,0.48034,0.5106,5.1032e-13,4.6092e-13,0.36348,0.30105,8.1213e-13,0.00131,65401.108,0,-12,-25,0
2022,8.58065,19.08333,2.99711,2.4132e-14,0.00032,2.81495,8.77295,0.00032,2.99961,1.65167,0.00032,2.46637,3.35289,3.3394e-14,2.0017e-14,3.69187,2.18549,1.7048e-14,8e-05,65528,1,-12,-25,0
2022,8.58065,19.16667,3.39599,1.9595e-14,5e-04,2.79105,26.61621,0.00048,3.41911,1.60293,0.00048,2.40057,4.11695,3.4933e-14,1.4217e-14,4.17122,2.48388,1.391e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,19.25,2.62406,3.0117e-14,0.00061,2.22115,17.98584,0.00059,2.63982,1.61266,0.00059,2.03094,2.96661,4.616e-14,2.4547e-14,3.26189,1.88073,2.0956e-14,7e-05,65527.726,0,-12,-25,0
2022,8.58065,19.33333,3.00433,2.4035e-14,0.00064,2.37569,27.81494,0.00062,3.02629,1.59284,0.00062,2.10454,3.14449,4.3501e-14,2.2276e-14,3.68561,2.20151,1.7097e-14,1e-04,65528,1,-12,-25,0
2022,8.58065,19.41667,2.97066,2.4491e-14,0.00059,2.41459,24.7124,0.00056,2.98879,1.60293,0.00057,2.14826,3.22415,4.2036e-14,2.1367e-14,3.6939,2.11035,1.7033e-14,7e-05,65528,1,-12,-25,0
2022,8.58065,19.5,4.92304,1.0553e-14,0.00018,4.61279,14.83215,0.00018,4.93554,1.64667,0.00018,3.70317,5.3091,1.6962e-14,9.3052e-15,6.05258,3.5608,7.4793e-15,8e-05,65524.888,0,-12,-25,0
2022,8.58065,19.58333,3.18518,2.1804e-14,0.00057,2.52305,28.24609,0.00055,3.21706,1.59043,0.00055,2.26164,3.41102,3.8583e-14,1.9452e-14,3.94284,2.29337,1.5279e-14,8e-05,65490.804,0,-12,-25,0
